Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
176,Kar'thasse,Weila Aldsa,Weila Aldsa Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,562,1217,597.5,35.96,12.58,1588,57°F,Batumi,,port,,,plaza,,,{t1:argent;charges:[{charge:goutte;t:purpure;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=562&name=&seed=8563657060176&width=1000&height=455&tags=coast%2Chighway%2Cdense
177,Ullorthethyr,Nylmas,Nylmas Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,1340,569.96,599.04,35.89,-19.1,1312,57°F,Batumi,,,citadel,walls,plaza,temple,,{t1:argent;division:{division:perPale;t:purpure;line:dovetailedIndented};charges:[{charge:arrow;t:sable;p:p;t2:sable;t3:sable;size:0.7};{charge:bee;t:argent;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ullorthethyr&population=1340&size=10&seed=8563657060177&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
178,Dozoba,Haulstha,Haulstha Province,Irdre,Irdrean Consulate,Maysiolian,Deities of Nature,872,801.5,608.5,35.43,-7.76,210,63°F,Lisbon,,,citadel,,plaza,,,{t1:gules;charges:[{charge:crossMoline;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Dozoba&population=872&size=8&seed=8563657060178&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
179,Tlaunalyedil,North Forest,North Forest Occupation zone,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,1051,516,612,35.26,-21.74,328,61°F,Dubrovnik,,port,,walls,plaza,,,{t1:azure;charges:[{charge:plaice;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Tlaunalyedil&population=1051&size=9&seed=8563657060179&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.27
180,Troliraxias,Carvalgia,Carvalgia Province,Hethi,Council of Hethi,Therini,Deity of High Truth,182,1715,652.5,33.29,36.96,30,64°F,Barcelona,,port,,walls,plaza,,,{t1:sable;division:{division:perCross;t:argent;line:straight};charges:[{charge:millstone;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Troliraxias&population=182&size=6&seed=8563657060180&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.66
181,Beydi,Reine,Reine Province,Varcii,Varciian Commonwealth,Maysiolian,Deities of Nature,713,736.83,658.17,33.01,-10.93,13,64°F,Barcelona,,,,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:cross;t:sable;line:angled}];charges:[{charge:swanErased;t:purpure;p:acgi;t2:purpure;t3:purpure;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Beydi&population=713&size=8&seed=8563657060181&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
182,Slalzes,Canth,Canth Province,Bransha,Kingdom of Bransha,Kili'ini,Deities of Trade,163,1164.5,661.5,32.85,10.01,161,64°F,Barcelona,,port,,,,,,{t1:gules;ordinaries:[{ordinary:label;t:argent}];charges:[{charge:anchor;t:argent;p:defgzi;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=163&name=&seed=8563657060182&width=600&height=273&tags=coast%2Cdead+end%2Cno+square
183,Idormel-Did,Ydiyol,Ydiyol Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,336,683.21,662.55,32.8,-13.55,118,64°F,Barcelona,,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:orle;t:gules}];charges:[{charge:crossFitchy;t:gules;p:ken;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=336&name=&seed=8563657060183&width=800&height=364&tags=dead+end%2Cdense
184,Gopjar,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,917,1198,675,32.2,11.65,397,63°F,Lisbon,,port,citadel,,plaza,,,{t1:argent;ordinaries:[{ordinary:pileInBendSinister;t:azure}];charges:[{charge:roundel;t:argent;p:em;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gopjar&population=917&size=8&seed=8563657060184&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.35
185,Boviorum,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,125,1275.2,677.2,32.09,15.43,397,63°F,Lisbon,,,,,,,,{t1:argent;division:{division:perSaltire;t:azure};ordinaries:[{ordinary:mount;t:gules}];charges:[{charge:billet;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=125&name=&seed=8563657060185&width=600&height=273&tags=highway%2Cno+square
186,Arerkilkut,Ydiyol,Ydiyol Province,Varcii,Varciian Commonwealth,Maysiolian,Deities of Nature,145,646.43,688.5,31.54,-15.35,30,64°F,Barcelona,,,,,plaza,,,{t1:pappellony-or-gules-smaller;charges:[{charge:parrot;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=145&name=&seed=8563657060186&width=600&height=273&tags=pond%2Chighway%2Cfarmland
187,Sezrash,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,157,1218.5,689.5,31.49,12.66,328,63°F,Lisbon,,port,,,plaza,,,{t1:sable;charges:[{charge:lionRampant;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=157&name=&seed=8563657060187&width=600&height=273&tags=coast%2Cdead+end
188,Ydiyol,Ydiyol,Ydiyol Province,Varcii,Varciian Commonwealth,Maysiolian,Deities of Nature,924,631.5,691.5,31.39,-16.08,13,64°F,Barcelona,,port,citadel,walls,plaza,,,{t1:gules;charges:[{charge:escallop;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ydiyol&population=924&size=8&seed=8563657060188&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.22
189,Godischev,Old Moncosia,Old Moncosia,Moncosia,Kingdom of Moncosia,Saas'maean,Deities of the Realm,165,1161.5,699,31.03,9.87,30,66°F,Marrakesh,,port,,,plaza,,,{t1:azure;division:{division:perCross;t:or;line:wavy};charges:[{charge:crossCalvary;t:argent;p:jo;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=165&name=&seed=8563657060189&width=600&height=273&tags=coast%2Cdead+end
190,Flaroli,Coimbra,Coimbra Province,Sueiana,Great Union of Sueiana,Esla'rei,Deity of High Truth,138,1607.33,701.12,30.93,31.69,82,66°F,Marrakesh,,,citadel,,plaza,,,{t1:or;charges:[{charge:sickle;t:vert;p:abcpqh;t2:vert;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Flaroli&population=138&size=6&seed=8563657060190&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
191,Andabis,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,163,1265.5,726.5,29.69,14.96,118,66°F,Marrakesh,,port,,,,,,{t1:masoned-azure-argent;division:{division:perFess;t:or;line:straight};shield:heater},https://watabou.github.io/village-generator/?pop=163&name=&seed=8563657060191&width=600&height=273&tags=coast%2Chighway%2Cfarmland%2Cno+square
192,Lusiegium,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,164,1328.5,723,29.86,18.04,118,66°F,Marrakesh,,port,,,plaza,,,{t1:purpure;charges:[{charge:pineTree;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=164&name=&seed=8563657060192&width=600&height=273&tags=coast%2Chighway
193,Turk,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,666,581,777.5,27.21,-18.56,161,68°F,Alexandria,,port,,walls,plaza,,,{t1:argent;division:{division:perSaltire;t:vert};charges:[{charge:trefle;t:azure;p:bhdf;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Turk&population=666&size=8&seed=8563657060193&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.34
194,Branum,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,130,1252.9,785.1,26.84,14.34,118,68°F,Alexandria,,,,,,,,{t1:argent;division:{division:perCross;t:sable;line:straight};charges:[{charge:mascle;t:purpure;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=130&name=&seed=8563657060194&width=600&height=273&tags=highway%2Cno+square
195,Fluroynes,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,414,1052,217.5,54.43,4.5,30,50°F,London,,port,,,plaza,,,{t1:potent-or-azure;division:{division:perChevron;t:gules;line:straight};charges:[{charge:crossHummetty;t:purpure;p:dfbh;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=414&name=&seed=8563657060195&width=800&height=364&tags=coast%2Chighway%2Cdense
196,Inndever,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,163,1068,284,51.2,5.29,52,52°F,Antwerp,,port,,,plaza,,,{t1:purpure;charges:[{charge:tower;t:argent;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=163&name=&seed=8563657060196&width=600&height=273&tags=coast%2Chighway
197,Pepja,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Kili'ini,Deities of Trade,542,1082,315,49.69,5.97,210,54°F,Paris,,port,,,plaza,,,{t1:sable;ordinaries:[{ordinary:bend;t:or;line:straight}];charges:[{charge:helmet;t:sable;p:jo;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=542&name=&seed=8563657060197&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
198,Tranhoes,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,854,1522,328,49.06,27.51,30,54°F,Paris,,port,,,plaza,,,{t1:sable;division:{division:perFess;t:argent;line:straight};charges:[{charge:lozenge;t:or;p:kn;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=854&name=&seed=8563657060198&width=1000&height=455&tags=coast%2Chighway%2Cdense
199,Rrer'tesh,South Chosia,South Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,939,1223.5,345.5,48.21,12.9,161,54°F,Paris,,port,,,,,,{t1:argent;ordinaries:[{ordinary:fessCotissed;t:gules;line:straight}];charges:[{charge:crossMoline;t:or;p:e;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=939&name=&seed=8563657060199&width=1000&height=455&tags=coast%2Chighway%2Cno+square%2Cdense
200,Balharem,Volaiy,Volaiy Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,445,1503.91,344.64,48.25,26.63,30,54°F,Paris,,,,,plaza,,,{t1:argent;division:{division:perChevron;t:ermine-or-sable;line:straight};charges:[{charge:pike;t:gules;p:bdefh;t2:gules;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=445&name=&seed=8563657060200&width=800&height=364&tags=dead+end%2Cfarmland%2Cdense
201,Kordimarvi,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,116,1332.1,350.5,47.97,18.22,52,55°F,Milan,,,citadel,,plaza,,,{t1:pally-or-vert-small;division:{division:perFess;t:sable;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Kordimarvi&population=116&size=6&seed=8563657060201&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
202,Srar'thas,Ostonos,Ostonos Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Craft,956,1015,367,47.16,2.69,554,54°F,Paris,,port,,,plaza,,,{t1:argent;charges:[{charge:skeleton;t:sable;p:jln;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=956&name=&seed=8563657060202&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
203,Fuknam,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,499,1611.5,372,46.92,31.9,738,54°F,Paris,,port,,,,,,{t1:azure;ordinaries:[{ordinary:bendlet;t:or;line:engrailed}];charges:[{charge:mullet;t:gules;p:joe;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=499&name=&seed=8563657060203&width=800&height=364&tags=coast%2Chighway%2Cfarmland%2Cno+square%2Cdense
204,Hrafting,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,152,1347,377.5,46.65,18.95,13,55°F,Milan,,port,,,plaza,,,{t1:argent;charges:[{charge:garb;t:or;p:lme;t2:or;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=152&name=&seed=8563657060204&width=600&height=273&tags=coast%2Chighway
205,Mej'jess,Ostonos,Ostonos Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,173,926.5,380.5,46.51,-1.64,1588,50°F,London,,port,,,,,,{t1:or;division:{division:perPale;t:gules;line:flechy};charges:[{charge:crossMaltese;t:purpure;p:p;size:0.7};{charge:goutte;t:argent;p:q;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=173&name=&seed=8563657060205&width=600&height=273&tags=coast%2Chighway%2Cno+square
206,Fuwaiq,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,162,379.5,397.5,45.68,-28.42,82,55°F,Milan,,port,,,plaza,,,{t1:sable;division:{division:perChevronReversed;t:or;line:wavy};charges:[{charge:armillarySphere;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=162&name=&seed=8563657060206&width=600&height=273&tags=coast%2Cdead+end
207,Reloliro,Volaiy,Volaiy Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,432,1496,397,45.71,26.24,13,55°F,Milan,,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:orle;t:gules}];charges:[{charge:anchor;t:gules;p:e;size:1.1}];shield:heater},https://watabou.github.io/village-generator/?pop=432&name=&seed=8563657060207&width=800&height=364&tags=coast%2Chighway%2Cdense
208,Gapjess,South Chosia,South Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,769,1093,409.5,45.1,6.51,52,55°F,Milan,,port,citadel,walls,plaza,,,{t1:azure;division:{division:perFess;t:or;line:engrailed};charges:[{charge:scythe;t:argent;p:e;t2:argent;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gapjess&population=769&size=8&seed=8563657060208&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.14
209,Pathuph,South Chosia,South Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,1937,1106.5,410,45.07,7.17,52,55°F,Milan,,port,,walls,plaza,temple,,{t1:or;ordinaries:[{ordinary:pilesInPoint;t:azure}];charges:[{charge:cowHorns;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Pathuph&population=1937&size=11&seed=8563657060209&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.64
210,Tseun,Vostish Tazaleia,Vostish Tazaleia,Vostis,Vostish Kingdom,Henyish,Deities of Wisdom,574,1735.5,432.5,43.98,37.97,30,57°F,Batumi,,port,,,plaza,,,{t1:sable;charges:[{charge:mullet4;t:argent;p:jeo;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=574&name=&seed=8563657060210&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
211,Srerk,Maroris,Maroris Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,660,1021,436,43.81,2.99,643,55°F,Milan,,port,,,plaza,,,{t1:azure;ordinaries:[{ordinary:chief;t:or;line:potentyDexter}];charges:[{charge:crossHummetty;t:azure;p:abc;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=660&name=&seed=8563657060211&width=1000&height=455&tags=coast%2Chighway%2Cfarmland%2Cdense
212,Kwongking,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,970,1611,430.5,44.08,31.87,118,57°F,Batumi,,port,,,plaza,,,{t1:purpure;charges:[{charge:inescutcheon;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=970&name=&seed=8563657060212&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
213,Skalzaj'jen,Ona,Ona Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,366,1125.5,445,43.37,8.1,161,57°F,Batumi,,port,,,plaza,,,{t1:or;division:{division:perCross;t:sable;line:straight};ordinaries:[{ordinary:pilesInPoint;t:gules;divided:counter}];shield:heater},https://watabou.github.io/village-generator/?pop=366&name=&seed=8563657060213&width=800&height=364&tags=coast%2Cdead+end%2Cdense
214,Louguso,Sidania,Sidania Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,641,1342,455.5,42.86,18.7,30,57°F,Batumi,,port,,walls,plaza,,,{t1:vert;division:{division:perCross;t:or;line:straight};ordinaries:[{ordinary:pileInBendSinister;t:argent;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Louguso&population=641&size=7&seed=8563657060214&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.6
215,Vinas,Shuanhua,Shuanhua Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,1203,1477.6,459.4,42.67,25.34,30,57°F,Batumi,,,,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:fess;t:argent;line:embattledNotched}];charges:[{charge:escallop;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Vinas&population=1203&size=9&seed=8563657060215&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
216,Aymsera,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,978,524.5,474.5,41.94,-21.32,82,59°F,Rome,,port,citadel,walls,plaza,,,{t1:pally-sable-or;division:{division:perFess;t:bendy-argent-gules;line:straight};ordinaries:[{ordinary:bordure;t:purpure}];shield:heater},https://watabou.github.io/city-generator/?name=Aymsera&population=978&size=9&seed=8563657060216&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.07
217,Parksurgiss,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,353,1066,488.5,41.26,5.19,30,59°F,Rome,,port,,,,,,{t1:argent;division:{division:perBendSinister;t:sable;line:straight};ordinaries:[{ordinary:gemelle;t:purpure;line:straight;divided:counter}];shield:heater},https://watabou.github.io/village-generator/?pop=353&name=&seed=8563657060217&width=800&height=364&tags=coast%2Cdead+end%2Cno+square%2Cdense
218,Shar'thuss,Ona,Ona Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,356,1167.19,493.31,41.03,10.14,118,59°F,Rome,,,,,plaza,,,{t1:or;charges:[{charge:triangle;t:azure;p:jln;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=356&name=&seed=8563657060218&width=800&height=364&tags=estuary%2Cdead+end%2Cdense
219,Sku'tass,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,165,1026.5,494.5,40.97,3.26,30,59°F,Rome,,port,,,plaza,,,{t1:azure;charges:[{charge:lute;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=165&name=&seed=8563657060219&width=600&height=273&tags=coast%2Chighway
220,Krirre,Ona,Ona Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,915,1181.5,522,39.63,10.84,397,57°F,Batumi,,port,,walls,plaza,,,{t1:gules;charges:[{charge:bugleHorn2;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Krirre&population=915&size=8&seed=8563657060220&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.75
221,Norkkash,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,351,1144.5,529.5,39.27,9.03,210,59°F,Rome,,port,,,plaza,,,{t1:gules;charges:[{charge:ladder2;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=351&name=&seed=8563657060221&width=800&height=364&tags=coast%2Chighway%2Cdense
222,Samshing,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of the Realm,314,1511,530.5,39.22,26.98,118,59°F,Rome,,,,,plaza,,,{t1:masoned-argent-sable-smaller;division:{division:perChevron;t:vert;line:straight};shield:heater},https://watabou.github.io/village-generator/?pop=314&name=&seed=8563657060222&width=800&height=364&tags=dead+end%2Cdense
223,Pereigurao,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Vealian,Deities of the Realm,1941,1450,530,39.24,23.99,30,61°F,Dubrovnik,,port,citadel,walls,plaza,,shanty town,{t1:pally-or-azure;ordinaries:[{ordinary:orle;t:gules}];shield:heater},https://watabou.github.io/city-generator/?name=Pereigurao&population=1941&size=11&seed=8563657060223&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.05
224,Drugusobun,Thelippa,Thelippa Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,2000,1327,541.5,38.68,17.97,30,61°F,Dubrovnik,,port,citadel,walls,plaza,,shanty town,{t1:azure;division:{division:perPale;t:or;line:embattled};charges:[{charge:gear;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Drugusobun&population=2000&size=11&seed=8563657060224&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.11
225,Maungsan,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Henyish,Deities of the Realm,249,1503.6,541.2,38.7,26.61,118,61°F,Dubrovnik,,,,,plaza,,,{t1:gules;division:{division:perPale;t:pally-or-purpure;line:straight};charges:[{charge:pineTree;t:argent;p:pq;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=249&name=&seed=8563657060225&width=800&height=364&tags=dead+end
226,Draumenilsa,Omnev,Omnev Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,163,531.5,547,38.42,-20.98,1588,55°F,Milan,,port,,,plaza,,,{t1:or;division:{division:perPale;t:sable;line:dragonTeeth};charges:[{charge:drakkar;t:gules;p:e;t2:gules;t3:azure;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=163&name=&seed=8563657060226&width=600&height=273&tags=coast%2Cdead+end
227,Srashruz,Osnia,Osnia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,949,1130,558,37.88,8.32,397,59°F,Rome,,port,citadel,walls,plaza,,,{t1:vert;charges:[{charge:anchor;t:argent;p:abcpqh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Srashruz&population=949&size=9&seed=8563657060227&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.12
228,Ki'jazresh,G'risia,G'risia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,1280,1095.63,595.87,36.04,6.64,118,63°F,Lisbon,,,,,plaza,temple,,{t1:gules;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:rustre;t:gules;p:beh;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Ki%27jazresh&population=1280&size=10&seed=8563657060228&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
229,Vinhalhal,Carvalgia,Carvalgia Province,Hethi,Council of Hethi,Therini,Deity of High Truth,558,1734.5,595,36.08,37.92,266,61°F,Dubrovnik,,port,,,plaza,,,{t1:argent;charges:[{charge:plaice;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=558&name=&seed=8563657060229&width=1000&height=455&tags=estuary%2Cdead+end%2Cdense
230,Sligej'jas,Vai,Vai Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,1660,1263,630,34.38,14.83,13,63°F,Lisbon,,port,citadel,walls,plaza,,,{t1:argent;charges:[{charge:annulet;t:azure;p:abcdefgzi;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Sligej%27jas&population=1660&size=10&seed=8563657060230&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.49
231,Akatev,North Forest,North Forest Occupation zone,Illoveth,Kingdom of Illoveth,Maysiolian,Deities of Nature,165,596,643.5,33.73,-17.82,554,63°F,Lisbon,,port,,,,,,{t1:argent;ordinaries:[{ordinary:bendlet;t:gules;line:angled}];charges:[{charge:fusil;t:argent;p:joe;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=165&name=&seed=8563657060231&width=600&height=273&tags=coast%2Chighway%2Cno+square
232,Ollmselielo,Gelulallesa,Gelulallesa Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,361,717.89,648.91,33.46,-11.85,161,64°F,Barcelona,,,citadel,,plaza,,,{t1:argent;charges:[{charge:castle;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ollmselielo&population=361&size=6&seed=8563657060232&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
233,Sshauvenle,Ydiyol,Ydiyol Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,765,675.37,653.01,33.26,-13.94,118,64°F,Barcelona,,,,,plaza,,,{t1:azure;division:{division:chevronny;t:argent};ordinaries:[{ordinary:pall;t:or}];shield:heater},https://watabou.github.io/village-generator/?pop=765&name=&seed=8563657060233&width=1000&height=455&tags=dead+end%2Cdense
234,Igugus,Tazi,Tazi Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,155,1379,685.5,31.68,20.51,52,64°F,Barcelona,,port,,,,,,{t1:purpure;ordinaries:[{ordinary:point;t:argent}];charges:[{charge:compassRose;t:argent;p:acbdef;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=155&name=&seed=8563657060234&width=600&height=273&tags=coast%2Cdead+end%2Cno+square
